(dollar sign)	[(dollar sign), $]
responsabilities	[responsabilities, responsabilités]
responsibilities	[responsibilities, responsabilités]
resemblance	[resemblance, ressemblance]
similarity	[similarity, ressemblance]
looks	[looks, ressemble]
look like	[look like, ressemble]
feel	[feel, ressent, sent, sent, sentir, sentir]
feels	[feels, ressent, sent, sent]
resentment	[resentment, ressentiment]
resource	[resource, ressource]
ressources	[ressources, ressources]
resources	[resources, ressources]
stayed	[stayed, resta, resté, resté, restée, restée, restés, restés]
remained	[remained, resta, resté, resté]
staying, the rest	[staying, the rest, restant]
restaurant	[restaurant, restaurant]
restaurants	[restaurants, restaurants]
stays (verb)   rest (noun near end of paragraph)	[stays (verb)   rest (noun near end of paragraph), reste]
will remain	[will remain, restera]
will stay	[will stay, restera]
restricted	[restricted, restreint]
in small group	[in small group, restreint]
restriction	[restriction, restriction]
remaining	[remaining, resté]
late	[late, retard, tard, tard, tardif, tardif, tardive, tardive, tardivement, tardivement]
retaining	[retaining, retenue]
retains	[retains, retient]
retain	[retain, retient]
keeps	[keeps, retient]
removes	[removes, retire]
withdraw	[withdraw, retire, retirer, retirer]
remove	[remove, retirer]
removed	[removed, retiré]
come back	[come back, retour, revenir, revenir, reviennent, reviennent]
retrace	[retrace, retrace]
revocation	[revocation, retrait]
withdrawal	[withdrawal, retrait]
retirement	[retirement, retraite]
rediscover	[rediscover, retrouve]
retreive	[retreive, retrouver, récupérer, récupérer]
found again	[found again, retrouvée]
rediscovered	[rediscovered, retrouvée]
retreived	[retreived, retrouvés]
revange	[revange, revanche]
on the other hand	[on the other hand, revanche]
revenant	[revenant, revenant]
goes to	[goes to, revenant]
claim	[claim, revendique, réclament, réclament]
incomes	[incomes, revenu]
setback	[setback, revers]
come back / given back (for the 2nd)	[come back / given back (for the 2nd), revient]
revolution	[revolution, revolution, révolution, révolution]
variegation	[variegation, revues, variégation, variégation]
rey	[rey, rey]
received	[received, reçu, reçues, reçues, reçut, reçut]
idee recue=accepted idea   /   la formation recue=the training received	[idee recue=accepted idea   /   la formation recue=the training received, reçue]
preconceived	[preconceived, reçues]
rfa	[rfa, rfa]
west germany	[west germany, rfa]
rfc	[rfc, rfc]
rh	[rh, rh]
rhine	[rhine, rhin]
rhodes	[rhodes, rhodes]
cody rhodes	[cody rhodes, rhodes]
rheologie	[rheologie, rhéologie]
scientific term)	[scientific term), rhéologie]
rehology	[rehology, rhéologie]
reheology	[reheology, rhéologie]
rheology	[rheology, rhéologie]
(physics term)	[(physics term), rhéologie]
rhetoric	[rhetoric, rhétorique]
rhone	[rhone, rhône]
ric	[ric, ric]
richard	[richard, richard]
richards	[richards, richards]
rich	[rich, riche, riches, riches]
richelieu	[richelieu, richelieu]
wealthy	[wealthy, riches]
riches	[riches, richesse, richesses, richesses]
wealth	[wealth, richesse, richesses, richesses]
curtain	[curtain, rideau]
nothing	[nothing, rien]
strictness	[strictness, rigueur]
rigor	[rigor, rigueur]
rihanna	[rihanna, rihanna]
rihanna, the name	[rihanna, the name, rihanna]
rimbaud	[rimbaud, rimbaud]
ring	[ring, ring]
ringo starr from the beatles	[ringo starr from the beatles, ringo]
rio	[rio, rio]
laughter	[laughter, rire]
laugh	[laugh, rire]
risk	[risk, risque]
risks	[risks, risques]
rite	[rite, rite]
rituals	[rituals, rites, rituels, rituels]
rites	[rites, rites]
ritual	[ritual, rituel, rituels, rituels]
rivalling	[rivalling, rival]
rivalry rivalry	[rivalry rivalry, rivalité]
rivalry	[rivalry, rivalité, rivalités, rivalités]
rivalty	[rivalty, rivalités]
rivalries	[rivalries, rivalités]
rivals	[rivals, rivaux]
bank (of a river)	[bank (of a river), rive]
rice	[rice, riz]
rko	[rko, rko]
nrb	[nrb, rnb]
rnb	[rnb, rnb]
r&b	[r&b, rnb]
rob	[rob, rob]
robe	[robe, robe]
dress	[dress, robe]
robert	[robert, robert]
roberto	[roberto, roberto]
robespierre	[robespierre, robespierre]
robin	[robin, robin]
robot	[robot, robot]
robots	[robots, robots]
rock	[rock, roche, rocher, rocher, rock, rock]
rocher	[rocher, rocher]
rocks	[rocks, roches]
rocky	[rocky, rocky]
rodrigue	[rodrigue, rodrigue]
roger	[roger, roger]
rogue	[rogue, rogue]
rohff	[rohff, rohff]
roland	[roland, roland]
roland-garros	[roland-garros, rolandgarros]
(name of tennis stadium)	[(name of tennis stadium), rolandgarros]
roland garros	[roland garros, rolandgarros]
roll	[roll, roll]
roma	[roma, roma, rome, rome]
roman	[roman, romain, romaine, romaine, romaines, romaines, romains, romains, roman, roman]
romans	[romans, romains]
novel	[novel, roman, romanesque, romanesque, romans, romans]
romance	[romance, romance]
romace	[romace, romance]
novelist	[novelist, romancier]
romantic	[romantic, romanesque, romantique, romantique, romantiques, romantiques]
novels	[novels, romans]
romantism	[romantism, romantisme]
romanticism	[romanticism, romantisme]
breaks	[breaks, rompt]
breaks/breaks off	[breaks/breaks off, rompt]
romy	[romy, romy]
romeo	[romeo, roméo]
ron	[ron, ron]
ronald	[ronald, ronald]
ronaldo	[ronaldo, ronaldo]
patrol	[patrol, ronde]
round	[round, ronde]
ronsard	[ronsard, ronsard]
roosevelt	[roosevelt, roosevelt]
rosace	[rosace, rosace]
rose window	[rose window, rosace]
rosette	[rosette, rosace]
pink flamingo, rose	[pink flamingo, rose, rose]
roses	[roses, roses]
ross	[ross, ross]
rotation	[rotation, rotation]
rotor	[rotor, rotor]
rouen	[rouen, rouen]
romanian	[romanian, roumain]
romania	[romania, roumanie]
rousseau	[rousseau, rousseau]
road	[road, route, routier, routier, rue, rue]
roads	[roads, routes]
redhead	[redhead, roux]
rowling	[rowling, rowling]
roy	[roy, roy]
royal	[royal, royal, royale, royale, royales, royales, royaux, royaux]
kingdom	[kingdom, royaume]
kingdoms	[kingdoms, royaumes]
united kingdom	[united kingdom, royaumeuni]
rpr	[rpr, rpr]
rss	[rss, rss]
rti	[rti, rtl]
rude	[rude, rude]
street	[street, rue, street, street]
streets	[streets, rues]
rugby	[rugby, rugby]
ruin	[ruin, ruine]
ruins	[ruins, ruines]
rumble	[rumble, rumble]
rumour	[rumour, rumeur]
rumor	[rumor, rumeur]
rumors	[rumors, rumeurs]
rumours	[rumours, rumeurs]
rural	[rural, rural, rurale, rurale, rurales, rurales]
russian	[russian, russe, russes, russes]
russell	[russell, russell]
russians	[russians, russes]
russia	[russia, russie]
ryan (boy's name)	[ryan (boy's name), ryan]
ryan	[ryan, ryan]
rythm	[rythm, rythme]
rate	[rate, rythme, taux, taux]
rythms	[rythms, rythmes]
rhythms	[rhythms, rythmes]
rhythm	[rhythm, rythmes]
rhythmic	[rhythmic, rythmique]
rythmical	[rythmical, rythmique]
rule	[rule, règle, règne, règne]
regulations	[regulations, règlement]
regulation	[regulation, règlement, réglementation, réglementation, régulation, régulation]
reign	[reign, règne]
ré	[ré, ré]
reactor	[reactor, réacteur]
reaction	[reaction, réaction]
response	[response, réaction, réactions, réactions, réponse, réponse]
reactions	[reactions, réactions]
reacts	[reacts, réagit]
reacted	[reacted, réagit]
directors	[directors, réalisateurs]
realisation	[realisation, réalisation]
achievement	[achievement, réalisation]
realization	[realization, réalisation]
achievements	[achievements, réalisations]
realizes	[realizes, réalise]
carries out	[carries out, réalise]
implement	[implement, réaliser]
realize	[realize, réaliser]
realism	[realism, réalisme]
realistic	[realistic, réaliste]
realist	[realist, réaliste]
realized	[realized, réalisé, réalisée, réalisée]
realises	[realises, réalisées]
realised	[realised, réalisées, réalisés, réalisés]
reality	[reality, réalité]
realities	[realities, réalités]
rebellion	[rebellion, rébellion]
recent	[recent, récent, récente, récente, récentes, récentes, récents, récents]
receptor	[receptor, récepteur]
receptors	[receptors, récepteur, récepteurs, récepteurs]
receiver	[receiver, récepteur]
receivers	[receivers, récepteurs]
recession	[recession, récession]
sluggishness	[sluggishness, récession]
warming	[warming, réchauffement]
reciprocal	[reciprocal, réciproque]
narrative	[narrative, récit]
narratives	[narratives, récits]
reclaim	[reclaim, réclament]
harvest	[harvest, récolte]
award	[award, récompense]
rewards	[rewards, récompenses]
rewarded	[rewarded, récompensé]
awarded	[awarded, récompensé]
reconciliation (name)	[reconciliation (name), réconciliation]
get back	[get back, récupère]
recovers	[recovers, récupère]
collect or get from	[collect or get from, récupérer]
recover	[recover, récupérer, rétablir, rétablir]
recurrent	[recurrent, récurrent]
recurring	[recurring, récurrent, récurrents, récurrents]
redaction	[redaction, rédaction]
editorial	[editorial, rédaction]
drafted	[drafted, rédige]
writes	[writes, rédige]
write	[write, rédiger, écrire, écrire]
redact	[redact, rédiger]
drawn up	[drawn up, rédigé]
subtraction	[subtraction, réduction]
steersman	[steersman, réduction, timonier, timonier]
reduce	[reduce, réduire, réduit, réduit]
reduced	[reduced, réduit, réduite, réduite]
reals	[reals, réels]
reflexions	[reflexions, réflexions]
reform	[reform, réforme]
reforms	[reforms, réformes]
refugee	[refugee, réfugie]
take refuge	[take refuge, réfugie]
seeks refuge	[seeks refuge, réfugie]
refugees	[refugees, réfugiés]
refers	[refers, réfère]
refer	[refer, réfère]
references	[references, références]
referendum	[referendum, référendum]
regency	[regency, régence]
regent	[regent, régent]
regime	[regime, régime, régimes, régimes]
region	[region, région]
regional	[regional, régional, régionale, régionale, régionales, régionales, régionaux, régionaux]
settle	[settle, régler, sinstallent, sinstallent]
regular	[regular, régulier, réguliers, réguliers, régulière, régulière, régulières, régulières]
regulars	[regulars, réguliers]
rehabilitaton	[rehabilitaton, réhabilitation]
re-establishment	[re-establishment, réhabilitation]
pardon	[pardon, réhabilitation]
rehabilitation	[rehabilitation, réhabilitation]
rehab	[rehab, réhabilitation]
rehabilitation,restoration	[rehabilitation,restoration, réhabilitation]
salary	[salary, rémunération, salaire, salaire]
remuneration	[remuneration, rémunération]
renovation	[renovation, rénovation]
spreading	[spreading, répand, sétendant, sétendant]
spreads	[spreads, répand, transmet, transmet]
spills	[spills, répand]
widespread	[widespread, répandu, répandue, répandue]
directory	[directory, répertoire]
repertoire	[repertoire, répertoire]
respond	[respond, réplique, répondent, répondent]
replica	[replica, réplique]
answered	[answered, répond, répondu, répondu]
responds	[responds, répond]
answer	[answer, répondent, répondre, répondre, réponse, réponse]
responses	[responses, réponses]
answers	[answers, réponses]
repression	[repression, répression]
republican	[republican, républicain, républicaine, républicaine]
republicans	[republicans, républicains]
republic	[republic, république]
republics	[republics, républiques]
deemed	[deemed, réputé, réputée, réputée]
renowned	[renowned, réputée]
repetition	[repetition, répétition]
networks	[networks, réseaux]
backup	[backup, réserve]
reserve	[reserve, réserve, réserves, réserves]
reserves	[reserves, réserves]
reserved	[reserved, réservé]
spared	[spared, réservée]
the 3 example you show below would have different words to translate them) 1/specific 2/special 3/ guarded	[the 3 example you show below would have different words to translate them) 1/specific 2/special 3/ guarded, réservée]
lives	[lives, réside, vies, vies, vit, vit]
residences	[residences, résidences]
residents	[residents, résidents]
resistence	[resistence, résistance]
resistance	[resistance, résistance, résistances, résistances]
resistors	[resistors, résistances]
resistant	[resistant, résistants]
resists	[resists, résiste]
resist	[resist, résister]
resolution	[resolution, résolution]
resonance	[resonance, résonance]
resolve	[resolve, résoudre]
as a result off...	[as a result off..., résultant]
summarizes	[summarizes, résume]
sums up	[sums up, résume]
summary	[summary, résumé]
resurrection	[resurrection, résurrection]
restore	[restore, rétablir]
reunification	[reunification, réunification]
reunion island	[reunion island, réunion]
reunion	[reunion, réunion]
reunite	[reunite, réunir, réunissent, réunissent]
reunis	[reunis, réunis]
reuniting	[reuniting, réunissant]
gathers	[gathers, réunit]
successful	[successful, réussi, réussissent, réussissent, réussit, réussit]
succeeded	[succeeded, réussi, réussit, réussit]
success	[success, réussite, succès, succès]
revision	[revision, révision]
revolt	[revolt, révolte]
revolts	[revolts, révoltes]
